year,1,2,3,4,5,6,7,8,9,10,11,12,source
1984,0.1505348,0.1479664,0.2425581,0.2890085,0.3415929,0.4205233,0.4986646,0.5667258,0.9951477,1.159295,1.397407,1.534117,South central data
1985,0.1919913,0.2042753,0.2326363,0.2994191,0.3655892,0.4523599,0.5368949,0.6268484,0.6954171,1.159295,1.397407,1.534117,South central data
1986,0.1361433,0.2121146,0.2726873,0.3131973,0.4078675,0.4747013,0.5504372,0.6874024,0.9996096,1.159295,1.397407,1.534117,South central data
1987,0.1259414,0.1368658,0.2180562,0.3348158,0.4070682,0.4551333,0.4922724,0.563898,0.8239994,1.159295,1.397407,1.534117,South central data
1988,0.1822906,0.1973105,0.2206887,0.3397598,0.44409,0.4901572,0.5387604,0.801143,1.107982,1.159295,1.397407,1.534117,South central data
1989,0.2111558,0.2236172,0.2572982,0.3103899,0.4364148,0.5361887,0.5793075,0.6247533,0.9483304,1.159295,1.397407,1.534117,South central data
1990,0.1098262,0.2713287,0.3181273,0.3802178,0.4565203,0.5720521,0.6752881,0.7524131,0.7968016,1.484836,1.397407,1.534117,South central data
1991,0.1704744,0.1356418,0.2947525,0.4184593,0.4691518,0.5384668,0.6571212,0.7614801,0.8292949,0.9211298,0.9661431,1.211166,South central data
1992,0.1469132,0.1857306,0.2301513,0.2959775,0.470392,0.5446617,0.6045111,0.7123569,0.8440921,0.967783,1.334361,1.534117,South central data
1993,0.1619597,0.1771304,0.2464664,0.3196657,0.3886246,0.5331162,0.6837792,0.8202819,0.9249876,1.117027,1.827258,1.534117,South central data
1994,0.1953464,0.2264017,0.2873626,0.3466979,0.4535636,0.6142527,0.7832115,0.8835419,1.013909,1.177842,1.581076,1.534117,South central data
1995,0.1735936,0.1895778,0.2662159,0.3390769,0.4245378,0.5626784,0.7969063,1.012164,1.186804,1.425176,1.797483,1.534117,South central data
1996,0.1893029,0.1925645,0.2807511,0.3617778,0.5121545,0.7041861,0.9541339,1.182428,1.355904,1.445308,2.008467,1.534117,South central data
1997,0.1742484,0.1957367,0.2657103,0.3599498,0.5178513,0.6991787,0.88718,1.083549,1.286712,1.528823,1.786438,1.778663,South central data
1998,0.1509109,0.1650645,0.2507305,0.3426146,0.5389495,0.7938069,1.024765,1.218285,1.403722,1.583515,1.933449,2.526217,South central data
1999,0.1607783,0.1667084,0.2590835,0.3377261,0.4942268,0.7894252,1.03884,1.234885,1.396515,1.653717,1.840768,1.95196,South central data
2000,0.1875431,0.1985347,0.2615524,0.3568495,0.4861258,0.800854,1.057831,1.159366,1.310321,1.454356,1.655568,2.052048,South central data
2001,0.1827897,0.2019619,0.2659981,0.335745,0.4551464,0.6135966,0.8679887,1.119457,1.394582,1.568499,1.812766,1.929316,South central data
2002,0.1822036,0.2012994,0.2651834,0.3299343,0.4489459,0.6375906,0.8595344,1.09259,1.312006,1.499319,1.665383,2.07272,South central data
2003,0.1735988,0.1921572,0.2492843,0.3051026,0.4031291,0.5875839,0.7864184,1.025697,1.261034,1.503562,1.733677,1.860694,South central data
2004,0.1954196,0.203685,0.2592072,0.3111681,0.3962746,0.5201817,0.6852567,0.857342,1.065275,1.394546,1.517042,1.771539,South central data
2005,0.082582,0.234478,0.2801149,0.3182222,0.3960397,0.5063872,0.6423895,0.7514278,0.9196058,1.160149,1.323906,1.605558,South central data
2006,0.1143924,0.1855874,0.2887004,0.3494106,0.4129838,0.5122648,0.6184664,0.7598961,0.9379996,1.040574,1.312011,1.724854,South central data
2007,0.1243306,0.1871145,0.2304796,0.3325443,0.4313013,0.5125954,0.624507,0.7766413,0.9092883,1.055941,1.228111,1.541965,South central data
2008,0.03337352,0.2154472,0.2869859,0.3363636,0.4212746,0.5248796,0.620094,0.7263266,0.8799001,1.016186,1.16031,1.479209,South central data
2009,0.1377923,0.1392881,0.2729103,0.3464209,0.4181168,0.5391295,0.623629,0.7589351,0.8920185,1.00727,1.137679,1.398248,South central data
2010,0.09494105,0.1822053,0.2364179,0.3212679,0.4136182,0.5393345,0.6506042,0.796128,1.056248,1.374346,1.560477,1.778165,South central data
2011,0.1978765,0.2022304,0.2956427,0.3602342,0.4783161,0.6403294,0.8059928,1.024834,1.26082,1.450085,1.873952,1.980855,South central data
2012,0.2005579,0.2131461,0.2970146,0.348841,0.4911934,0.6500815,0.8267282,1.061953,0.9679411,1.835302,2.222267,2.795959,South central data
2013,0.2176232,0.2446284,0.3120416,0.3807236,0.4482379,0.5798685,0.713884,0.9259645,1.292328,1.750509,2.08191,2.512122,South central data
2014,0.1917349,0.2653017,0.4181467,0.5439669,0.6432128,0.7854738,0.9132176,1.002492,1.34541,1.592197,2.406573,2.971161,South central data
2015,0.2140241,0.2140062,0.2818678,0.4795617,0.6104215,0.7464198,0.8841498,0.9904708,1.048912,1.238705,1.129591,1.48281,South central data
2016,0.2357683,0.2579246,0.3164536,0.3766218,0.4833772,0.5841827,0.790988,0.8716476,1.132441,1.284122,1.543783,2.045138,South central data
2017,0.1818216,0.2255663,0.2946036,0.3683379,0.4435464,0.5488533,0.6760053,0.921708,1.095721,1.390573,1.741291,1.582858,South central data
2018,0.1053533,0.2408689,0.3039696,0.3757951,0.4928608,0.5935819,0.7710815,0.9223757,1.341552,1.62739,1.791614,2.548984,South central data
2019,0.01872559,0.2677763,0.3054758,0.3926003,0.4817444,0.5780667,0.6825505,0.7590327,0.8876401,1.338831,1.978292,2.906318,South central data
2020,0.06212132,0.2297413,0.3021617,0.4241827,0.5604646,0.686345,0.8131479,1.014132,1.203624,1.366459,1.407528,2.80147,South central data
2021,0.2309736,0.2716323,0.3178626,0.404861,0.5615503,0.6949776,0.8085453,0.9555027,1.114651,1.404356,1.484232,1.692851,South central data
2022,0.2309736,0.2267862,0.3608536,0.411683,0.4581171,0.496089,0.5819053,0.6289076,0.9471036,1.404356,1.484232,1.692851,South central data
1970,0.152816,0.205607,0.271109,0.351383,0.448721,0.565672,0.705058,0.870011,1.063991,1.290825,1.554735,1.86038,South central
1971,0.153647,0.20595,0.271535,0.351904,0.449354,0.566431,0.705963,0.871082,1.065251,1.292298,1.556449,1.862365,South central
1972,0.154807,0.20638599999999999,0.271387,0.351729,0.449146,0.566188,0.70568,0.870752,1.06487,1.29186,1.555947,1.861791,South central
1973,0.157838,0.208768,0.273339,0.353439,0.451224,0.568688,0.708663,0.874287,1.069031,1.29673,1.561618,1.868364,South central
1974,0.156226,0.218996,0.284651,0.366335,0.466205,0.586709,0.730165,0.899758,1.09901,1.331814,1.602466,1.915703,South central
1975,0.148773,0.226835,0.306607,0.392019,0.496528,0.622628,0.773142,0.950793,1.159211,1.402405,1.684801,2.011273,South central
1976,0.149033,0.209923,0.302709,0.39959,0.504769,0.631995,0.784085,0.964212,1.175487,1.42196,1.708102,2.038839,South central
1977,0.146233,0.202793,0.276627,0.384456,0.498715,0.623866,0.77394,0.952064,1.161752,1.406484,1.690714,2.019356,South central
1978,0.149913,0.190659,0.257915,0.344181,0.46637,0.597134,0.741165,0.912754,1.115307,1.352642,1.628575,1.947927,South central
1979,0.1498,0.18979,0.240137,0.318552,0.417707,0.55471,0.702422,0.865765,1.05928,1.286649,1.551991,1.859449,South central
1980,0.148362,0.178977,0.225991,0.284503,0.372349,0.482343,0.631747,0.793588,0.972975,1.184648,1.432508,1.720916,South central
1981,0.150221,0.182546,0.221391,0.277971,0.347533,0.448078,0.572601,0.738559,0.919197,1.119857,1.355538,1.630423,South central
1982,0.144293,0.185726,0.2266,0.27538,0.343437,0.426189,0.541824,0.683541,0.869022,1.071756,1.297352,1.561102,South central
1983,0.148667,0.189687,0.24205,0.295625,0.359079,0.444,0.546044,0.683662,0.85034,1.064071,1.298686,1.560168,South central
1984,0.156248,0.190182,0.241198,0.305178,0.372173,0.45105,0.553615,0.675764,0.83621,1.028724,1.271613,1.539048,South central
1985,0.153069,0.199857,0.244291,0.30751,0.385586,0.468782,0.566193,0.689877,0.836005,1.02359,1.246732,1.524096,South central
1986,0.152838,0.202704,0.261443,0.319766,0.399029,0.495544,0.599835,0.721283,0.872259,1.049277,1.271722,1.534103,South central
1987,0.162144,0.190967,0.250014,0.319422,0.39007,0.483499,0.596219,0.718975,0.86139,1.036095,1.239892,1.492481,South central
1988,0.172948,0.212973,0.254034,0.327304,0.413143,0.502673,0.617704,0.75504,0.905745,1.079791,1.290195,1.534175,South central
1989,0.158312,0.218777,0.269837,0.323722,0.411806,0.51467,0.623678,0.760903,0.923439,1.102665,1.308899,1.555533,South central
1990,0.152014,0.212912,0.286524,0.352862,0.424396,0.532764,0.658833,0.794284,0.961531,1.158046,1.37562,1.625018,South central
1991,0.150141,0.189008,0.258813,0.342776,0.421072,0.50635,0.63044,0.774425,0.930217,1.120487,1.342984,1.589803,South central
1992,0.150669,0.193837,0.243225,0.325257,0.423345,0.517875,0.621724,0.766975,0.934987,1.117972,1.338931,1.595972,South central
1993,0.152318,0.207446,0.264284,0.329559,0.429945,0.549125,0.667785,0.79913,0.975601,1.178947,1.401808,1.667652,South central
1994,0.152181,0.216725,0.28736,0.36222,0.448315,0.572627,0.719181,0.869032,1.035791,1.252344,1.500925,1.774703,South central
1995,0.146823,0.218258,0.298711,0.387835,0.484055,0.594697,0.747092,0.925645,1.111829,1.31971,1.582671,1.883488,South central
1996,0.144934,0.232466,0.324522,0.428939,0.545748,0.673784,0.820824,1.014695,1.24034,1.479822,1.747853,2.078519,South central
1997,0.143696,0.206687,0.309088,0.418424,0.542803,0.682553,0.836835,1.013782,1.241608,1.505684,1.788538,2.105388,South central
1998,0.147761,0.229474,0.313119,0.439522,0.576586,0.732831,0.909038,1.10486,1.328973,1.610182,1.934503,2.285169,South central
1999,0.147987,0.207012,0.302992,0.403216,0.548772,0.707847,0.889274,1.094175,1.322577,1.583564,1.906386,2.277548,South central
2000,0.151196,0.205272,0.27809,0.390099,0.508841,0.675678,0.8591,1.068269,1.304669,1.568721,1.869941,2.238051,South central
2001,0.157893,0.202649,0.269114,0.356329,0.484971,0.622827,0.811532,1.019872,1.257333,1.525754,1.825943,2.167839,South central
2002,0.162692,0.209616,0.266825,0.347763,0.451698,0.599554,0.759392,0.973146,1.209926,1.479576,1.784323,2.125402,South central
2003,0.169615,0.205257,0.26243,0.33155,0.426247,0.545994,0.711941,0.892393,1.129552,1.392821,1.692367,2.030763,South central
2004,0.158718,0.208426,0.253412,0.321445,0.403111,0.512226,0.648468,0.83321,1.035002,1.296314,1.586842,1.917069,South central
2005,0.148123,0.198512,0.2578,0.313922,0.394818,0.491267,0.617294,0.772808,0.97943,1.205988,1.495248,1.817234,South central
2006,0.147,0.195278,0.25702,0.329504,0.400868,0.499282,0.615771,0.764635,0.946077,1.182046,1.441722,1.76826,South central
2007,0.14349,0.192023,0.251142,0.325482,0.412519,0.500609,0.618158,0.756452,0.930072,1.139533,1.407123,1.702391,South central
2008,0.140409,0.190086,0.249839,0.321996,0.411399,0.515747,0.623641,0.763755,0.927671,1.130289,1.372477,1.676904,South central
2009,0.143289,0.189556,0.251067,0.324572,0.412616,0.520277,0.645512,0.777208,0.944347,1.138848,1.375984,1.657026,South central
2010,0.149212,0.208831,0.270878,0.350729,0.445421,0.557813,0.693329,0.850305,1.01804,1.225967,1.4665,1.75545,South central
2011,0.160166,0.236512,0.31715,0.403626,0.511697,0.63882,0.788315,0.966109,1.171088,1.393152,1.662393,1.971941,South central
2012,0.165687,0.235671,0.330197,0.431963,0.542846,0.678967,0.83818,1.024242,1.243553,1.495522,1.770615,2.099547,South central
2013,0.155572,0.224972,0.309231,0.420346,0.541276,0.674183,0.8355,1.023424,1.242085,1.498291,1.791897,2.113859,South central
2014,0.166845,0.249727,0.341796,0.452401,0.593952,0.74986,0.922783,1.129697,1.369393,1.646648,1.968983,2.337022,South central
2015,0.156526,0.196738,0.286817,0.387251,0.50752,0.660175,0.828788,1.016188,1.239539,1.497838,1.796088,2.142054,South central
2016,0.159523,0.198997,0.249436,0.351398,0.465561,0.601607,0.772313,0.961494,1.172247,1.422029,1.710157,2.041983,South central
2017,0.15841,0.209235,0.260678,0.325026,0.443059,0.575689,0.732863,0.927643,1.144158,1.385848,1.670544,1.997972,South central
2018,0.159398,0.239776,0.310192,0.384402,0.475052,0.623312,0.790523,0.987101,1.226621,1.493773,1.792609,2.141629,South central
2019,0.159301,0.210305,0.30294,0.387601,0.478267,0.587829,0.757724,0.949589,1.174159,1.44536,1.748265,2.087346,South central
2020,0.162444,0.228797,0.296533,0.408614,0.51574,0.632223,0.771321,0.974872,1.20495,1.472768,1.792779,2.150624,South central
2021,0.155897,0.209258,0.286882,0.367718,0.494931,0.619448,0.755827,0.917596,1.146888,1.406099,1.706797,2.063816,South central
2022,0.155169,0.19349,0.255903,0.344047,0.437034,0.578214,0.718708,0.873293,1.055734,1.308421,1.594035,1.924452,South central
2023,0.153514,0.211103,0.262891,0.340955,0.447179,0.560946,0.725898,0.893479,1.07882,1.29607,1.588041,1.917874,South central
2024,0.153514,0.209448,0.280504,0.347944,0.444088,0.571091,0.70863,0.90067,1.099007,1.319157,1.575691,1.91188,South central
1979,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1980,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1981,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1982,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1983,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1984,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1985,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1986,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1987,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1988,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1989,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1990,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1991,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1992,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1993,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1994,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1995,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1996,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1997,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1998,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
1999,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2000,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2001,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2002,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2003,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2004,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2005,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2006,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2007,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2008,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2009,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2010,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2011,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2012,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2013,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2014,0.1570976,0.2230949,0.3286991,0.4290298,0.61337680000000006,0.7405042,0.8348471,0.9347027,1.049392,1.145142,1.30798,1.543105,Offshore data
2015,0.2277163,0.2479763,0.2949346,0.4341676,0.6548281,0.8175691,0.9325919,1.097617,1.214485,1.325849,1.270054,1.822918,Offshore data
2016,0.3107392,0.3827896,0.3991144,0.4283434,0.4813015,0.6104505,0.837006,0.8826694,0.985119,1.093841,1.535457,1.264915,Offshore data
2017,0.05911567,0.191747,0.4696284,0.5485503,0.6590853,0.7032152,0.7388591,0.9223704,0.9621061,1.093707,1.359284,1.543105,Offshore data
2018,0.0663342,0.1463582,0.3051961,0.387927,0.5070352,0.6064834,0.648915,0.6343477,0.7784029,0.8678509,1.051457,1.679907,Offshore data
2019,0.1267247,0.1357683,0.2442465,0.5099079,0.789683,0.9268152,1.04037,1.042165,1.128137,1.263351,1.249168,1.404681,Offshore data
2020,0.1519559,0.2339302,0.2590749,0.2652827,0.5883277,0.7784921,0.81134,1.029047,1.228105,1.226253,1.382457,1.543105,Offshore data
2021,0.1028666,0.2043553,0.2513063,0.276745,0.2787436,0.3434552,0.5437368,0.6695599,0.6171546,0.9661307,1.031824,0.979,Offshore data
2022,0.1323921,0.1348089,0.2231662,0.3108992,0.4243092,0.5543717,0.6818613,0.8244251,1.011152,1.153175,1.270145,1.420287,Offshore data
1970,0.136804,0.225613,0.33085,0.447816,0.572083,0.699783,0.82772,0.953368,1.074822,1.190716,1.300136,1.402534,Offshore
1971,0.136805,0.228654,0.334454,0.451821,0.576338,0.704156,0.832101,0.957671,1.078981,1.194684,1.303882,1.40604,Offshore
1972,0.136803,0.22822,0.336979,0.454851,0.579734,0.707785,0.835846,0.961435,1.082688,1.198275,1.307314,1.409284,Offshore
1973,0.136803,0.226958,0.335052,0.455717,0.581001,0.709369,0.83766,0.963398,1.08473,1.200338,1.309352,1.411264,Offshore
1974,0.136807,0.225424,0.331973,0.451771,0.579721,0.708432,0.837036,0.963043,1.084596,1.200379,1.309526,1.411534,Offshore
1975,0.136817,0.22485,0.329754,0.44793,0.574966,0.706321,0.835265,0.961601,1.08345,1.199491,1.308855,1.411042,Offshore
1976,0.136808,0.227027,0.331747,0.448565,0.574157,0.704681,0.836276,0.962896,1.084971,1.201172,1.310636,1.412868,Offshore
1977,0.136806,0.227485,0.334477,0.451173,0.575445,0.704543,0.835308,0.964566,1.086904,1.203302,1.312893,1.415188,Offshore
1978,0.136807,0.227499,0.334953,0.453923,0.578075,0.705853,0.835192,0.96362,1.088596,1.205255,1.315041,1.417462,Offshore
1979,0.136809,0.227469,0.334932,0.45436,0.580783,0.70844,0.83646,0.963463,1.087609,1.206908,1.316958,1.419576,Offshore
1980,0.136809,0.227208,0.334591,0.453992,0.580852,0.71077,0.838668,0.964358,1.087092,1.205578,1.318287,1.42119,Offshore
1981,0.136809,0.227168,0.334282,0.453598,0.580428,0.710782,0.84094,0.966509,1.087932,1.205009,1.316908,1.422473,Offshore
1982,0.136809,0.227168,0.334242,0.45329,0.580034,0.710358,0.840952,0.968782,1.090084,1.205849,1.316338,1.421093,Offshore
1983,0.136809,0.227173,0.334247,0.453256,0.579732,0.70997,0.840534,0.9688,1.092362,1.208006,1.317184,1.420529,Offshore
1984,0.136809,0.227175,0.334254,0.453264,0.579701,0.709671,0.84015,0.968385,1.092383,1.210288,1.319344,1.421377,Offshore
1985,0.136809,0.22718,0.334263,0.453278,0.579716,0.709648,0.839858,0.968008,1.091976,1.210315,1.321632,1.423543,Offshore
1986,0.136809,0.227187,0.334277,0.453296,0.57974,0.709673,0.839845,0.967727,1.091608,1.209917,1.321668,1.425839,Offshore
1987,0.136809,0.227192,0.334289,0.453315,0.579764,0.709703,0.839877,0.967719,1.091333,1.209555,1.321275,1.42588,Offshore
1988,0.136809,0.227191,0.334293,0.453327,0.579783,0.709727,0.839906,0.967751,1.091325,1.20928,1.320913,1.425487,Offshore
1989,0.136809,0.22719,0.334291,0.453329,0.579793,0.709743,0.839928,0.967778,1.091355,1.20927,1.320636,1.425124,Offshore
1990,0.136809,0.227189,0.334288,0.453326,0.579793,0.709752,0.839943,0.967798,1.091381,1.209298,1.320625,1.424845,Offshore
1991,0.136809,0.227188,0.334287,0.453322,0.579789,0.709752,0.839951,0.967813,1.0914,1.209324,1.320652,1.424834,Offshore
1992,0.136809,0.227188,0.334286,0.45332,0.579786,0.709747,0.83995,0.96782,1.091415,1.209343,1.320678,1.424861,Offshore
1993,0.136809,0.227188,0.334285,0.453319,0.579784,0.709744,0.839946,0.96782,1.091422,1.209357,1.320697,1.424886,Offshore
1994,0.136809,0.227188,0.334286,0.45332,0.579783,0.709742,0.839943,0.967816,1.091422,1.209365,1.320711,1.424905,Offshore
1995,0.136809,0.227186,0.334284,0.453317,0.579781,0.709739,0.839938,0.96781,1.091415,1.209362,1.320716,1.424918,Offshore
1996,0.136809,0.227185,0.33428,0.453314,0.579777,0.709735,0.839934,0.967804,1.091408,1.209354,1.320713,1.424922,Offshore
1997,0.136809,0.227188,0.334282,0.453314,0.579777,0.709734,0.839933,0.967803,1.091405,1.20935,1.320708,1.424921,Offshore
1998,0.136809,0.227192,0.334289,0.453321,0.579782,0.70974,0.839938,0.967808,1.091409,1.209352,1.320708,1.42492,Offshore
1999,0.136809,0.227193,0.334295,0.453329,0.579791,0.709747,0.839946,0.967815,1.091415,1.209358,1.320712,1.424922,Offshore
2000,0.136809,0.227207,0.334313,0.453354,0.57982,0.709777,0.839973,0.967842,1.091442,1.209383,1.320735,1.424943,Offshore
2001,0.136808,0.227224,0.334347,0.453394,0.579867,0.709829,0.840027,0.967894,1.091493,1.209431,1.320781,1.424985,Offshore
2002,0.136808,0.22719,0.334324,0.453384,0.579861,0.709829,0.840032,0.9679,1.091499,1.209439,1.320789,1.424992,Offshore
2003,0.136808,0.227124,0.334213,0.453274,0.579759,0.709728,0.839936,0.967811,1.091415,1.209358,1.320714,1.424924,Offshore
2004,0.136813,0.2269,0.333881,0.452868,0.579336,0.709304,0.839513,0.9674,1.09102,1.208983,1.320359,1.424592,Offshore
2005,0.1368,0.227834,0.334758,0.453761,0.58023,0.710217,0.840427,0.96829,1.091879,1.2098,1.321127,1.425307,Offshore
2006,0.136817,0.225907,0.333424,0.452116,0.578444,0.708358,0.838583,0.966497,1.090152,1.208161,1.319586,1.423868,Offshore
2007,0.136815,0.227215,0.333027,0.452483,0.578606,0.708429,0.838584,0.966479,1.090124,1.208119,1.319538,1.423817,Offshore
2008,0.136805,0.228565,0.335937,0.453866,0.580864,0.710535,0.840602,0.968393,1.091955,1.209856,1.321162,1.425327,Offshore
2009,0.136799,0.22855,0.337282,0.45677,0.582241,0.712787,0.842702,0.970405,1.093863,1.211681,1.322893,1.426946,Offshore
2010,0.13681,0.227702,0.336268,0.457004,0.583966,0.712952,0.843739,0.971312,1.094722,1.212489,1.323679,1.427704,Offshore
2011,0.13679,0.229826,0.337923,0.458774,0.587157,0.717715,0.846948,0.975339,1.098519,1.216105,1.32709,1.430927,Offshore
2012,0.13678,0.227907,0.337798,0.457928,0.586269,0.718176,0.848976,0.975861,1.099949,1.217424,1.328367,1.432149,Offshore
2013,0.136812,0.222615,0.32962,0.450846,0.578033,0.709693,0.841828,0.970416,1.093248,1.211961,1.323179,1.427336,Offshore
2014,0.136859,0.220651,0.321962,0.440039,0.568158,0.698586,0.830469,0.960444,1.085073,1.202655,1.315257,1.419846,Offshore
2015,0.136923,0.225659,0.32587699999999997,0.438915,0.564292,0.695844,0.826509,0.956104,1.081885,1.200954,1.312063,1.417644,Offshore
2016,0.136814,0.226876,0.332251,0.444349,0.564782,0.693637,0.825429,0.953776,1.079122,1.199271,1.311783,1.41578,Offshore
2017,0.136673,0.247795,0.358387,0.478419,0.59964,0.724365,0.853515,0.982446,1.105552,1.22395,1.336008,1.439746,Offshore
2018,0.13674,0.204425,0.32808,0.447619,0.573221,0.697062,0.821967,0.949371,1.075103,1.193967,1.307426,1.414127,Offshore
2019,0.136793,0.224384,0.308281,0.443511,0.570256,0.699246,0.82332,0.945967,1.069232,1.189476,1.301951,1.40848,Offshore
2020,0.136791,0.193413,0.291477,0.382851,0.522736,0.651669,0.78081,0.903426,1.023398,1.143119,1.259235,1.367233,Offshore
2021,0.136798,0.188522,0.254713,0.359609,0.455236,0.597122,0.726193,0.854001,0.974173,1.090906,1.206856,1.318882,Offshore
2022,0.136807,0.213391,0.279284,0.355591,0.466783,0.565372,0.707461,0.834558,0.958749,1.074125,1.185275,1.295169,Offshore
2023,0.136807,0.226906,0.320157,0.397949,0.481662,0.596338,0.695167,0.834934,0.957776,1.076326,1.185134,1.289161,Offshore
2024,0.136807,0.226906,0.333672,0.438822,0.52402,0.611217,0.726133,0.82264,0.958152,1.075353,1.187335,1.289019,Offshore
1979,0.05123909,0.1646477,0.2668904,0.3454878,0.4435823,0.5686678,0.7777774,0.9182731,1.029285,1.251758,1.479479,1.534117,Acoustic N Chile data
1980,0.05123909,0.1646477,0.2668904,0.3454878,0.4435823,0.5686678,0.7777774,0.9182731,1.029285,1.251758,1.479479,1.534117,Acoustic N Chile data
